Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19702986341,19469022208
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122893,1.312530908,1.112557519,2.232271773
Afghanistan,AFG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.81396282,39.31334897,43.01578526,40.88879185,41.93479766,42.03244307,47.14632667,47.21851397,51.04611926,52.020808,53.54942798,54.95535964,54.20765814,55.65340878,55.40806519
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.47194003,37.76544351,30.27167447,31.75099054,29.24973678,30.62285367,25.39474053,30.20560247,27.09154001,24.50744042,24.60324707,23.89137214,23.46312554,21.40072204,21.91029502
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.38671874,43.55686929,33.99649426,27.39525556,26.47029266,17.82371427,17.99297469,14.70758895,10.02384975,6.107274005,5.516850325,6.307895041,6.56770005,7.00211692,6.896249564
Afghanistan,AFG,"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,86.77685041,87.04452485,85.36584013,93.49111963,95.27776915,98.89624522,101.5873016,102.257636,99.83818803,98.42271344,96.69631142,99.75728188,96.7966568,94.48718042,92.06185577,91.83098546,88.00000057,90.74492186,89.15824972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120.5676697,133.9416352,134.3505252,128.5036798,124.2585304,120.6613916,118.2098989,109.5993922,117.050846,121.5284387,116.8116429,126.2181433,121.152032,122.4300488,124.4221086
Afghanistan,AFG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.28770401,94.34417017,87.13932444,77.46714501,74.08505675,58.35004683,55.07254555,42.19922847,44.94347835,44.19394807,39.14239744,49.7577749,45.77387714,48.80161503,49.02497729
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.71567237,11.2427294,10.90026799,7.171260735,22.38201578,2.179103285,-2.107082554,9.437794773,10.56113929,8.304760856,4.717531184,0.24308056,5.528856392,5.261616991
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.74684355,17.08061159,17.87912678,16.93752863,16.736761,18.05262075,18.19920737,13.5574931,12.94328462,14.22243254,12.82946486,12.02910537,12.2816924,11.84414995,11.81770841
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.883364339,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,7.158329958,..,..,..
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-13.55911445,10.30408819,14.9617514,7.698749879,8.958164218,2.869247833,6.271198994,5.632783081,3.948322822,5.763401065,4.291138207,2.963650109,-0.030262693,-1.038124135,1.070453851,0.571498918,2.767384735,0.555991562,3.515033844,..
Albania,ALB,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5927707216,5123962610,5651940237,6497569484,6997801107,7624675621,7843446462,8335324597,8804835351,9152478674,9679972728,10095353736,10394544698,10391399029,10283523407,10393603780,10453003113,10742277925,10802004084,11181698184,..
Albania,ALB,Urban population,SP.URB.TOTL,493982,513592,530766,547928,565248,582374,599300,616687,635924,656733,677801,698647,720649,742333,764166,786668,809052,832109,854618,876974,902120,927513,954645,982645,1011235,1040127,1068501,1098349,1127722,1167160,1197222,1198912,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603389,1629715,1653725,1678953
Albania,ALB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..,..,..,..
Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374,31.446,31.548,31.74,31.933,32.127,32.321,32.516,32.712,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888,36.158,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.383,56.409,57.407,58.376
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,5.39154054,3.893009665,3.289207022,3.182264531,3.112068144,2.984828013,2.864945444,2.859929437,3.071745751,3.219848385,3.157619134,3.029187299,3.100658737,2.964573466,2.89871135,2.902126121,2.805688761,2.810024998,2.669114362,2.582275994,2.82702035,2.775926165,2.883273307,2.890837193,2.867971958,2.817046493,2.691391059,2.755141155,2.639152558,3.437377879,2.543042545,0.141060582,0.87843043,0.85553496,0.84372567,0.82417126,0.812476342,0.788237295,0.774515179,0.755983737,0.742478629,0.710442618,2.181208904,2.060274182,1.971798937,1.826429357,1.662227897,1.49221507,1.435124211,1.473287913,1.609373264,1.787783785,1.848378936,1.736404956,1.628563872,1.462516627,1.514006568
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5442066396,5754747684,5924431990,5989893306,5914924002,6020247739,6359623744,6309519916,6219922231,6831747927,6177564328,4349684961,4036507645,4424012380,4791205407,5428435726,5922423377,5280559676,5756277510,6533442517,6969002335,7522364217,7840663356,8293343315,8766856445,9268392518,9771760096,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12768229393,13098926534,13552149392
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.18307E+11,3.36596E+11,3.46521E+11,3.5035E+11,3.45965E+11,3.52125E+11,3.71975E+11,3.69045E+11,3.63804E+11,3.9959E+11,3.61326E+11,2.54414E+11,2.36096E+11,2.58761E+11,2.80238E+11,3.1751E+11,3.46403E+11,3.08861E+11,3.36685E+11,3.82142E+11,4.07618E+11,4.39984E+11,4.58601E+11,4.85079E+11,5.12774E+11,5.42109E+11,5.71551E+11,6.05273E+11,6.5085E+11,6.72653E+11,6.97609E+11,7.15398E+11,7.25557E+11,7.3361E+11,7.46815E+11,7.66158E+11,7.92667E+11
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15537999900,16072999900,16544000000,16723999700,16510000100,16862999600,17390000100,17252999200,17008000000,18680999900,16812999700,16403999700,53232001000,1.2534E+11,1.87891E+11,2.24745E+11,3.46403E+11,3.46198E+11,4.09209E+11,4.71578E+11,5.23043E+11,5.83369E+11,6.22711E+11,6.94097E+11,7.51022E+11,8.14797E+11,8.82209E+11,9.6767E+11,1.08068E+12,1.14394E+12,1.23964E+12,1.30062E+12,1.33281E+12,1.35055E+12,1.39442E+12,1.43474E+12,1.48062E+12
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898292,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13219857459,11390365294,11926892453
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-29.5889977,-7.199999986,9.600000045,8.29999998,13.29999999,9.100000008,-10.83785574,9.00885254,13.50117338,6.666620499,7.940331425,4.231371018,5.773490561,5.709556596,5.720819947,5.431012739,5.9,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.590000005,3.459999994
Albania,ALB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.39979483,24.5996393,24.50011908,22.59985271,22.90005982,22.09986176,21.79988487,20.99982361,22.20014287,22.89973889,15.89841223,18.00779904,25.03757092,22.45731668,24.64833534,21.68991362,47.17654977,51.92218872,56.41493655,58.90752157,56.80416565,57.23206991,56.1679952,52.48400341,52.48589622,53.5491611,53.37242241,54.79084751,51.55778956,52.37462449,50.65126458,50.88837424,51.88672188,51.12857916,52.43217026,52.60058257,53.2144759
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.087370001,0.154119998,..,..,..,..,..,..,..,..
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.60020616,32.40029884,31.69971047,34.10009748,33.09994105,34.60001209,34.00000038,33.20002472,31.49988182,32.3001977,35.90078991,39.29529516,51.64187027,54.64097649,53.62098061,55.81214471,37.47960473,32.70015991,30.47521816,27.11773207,26.49046231,24.45305458,24.23593287,24.3326986,22.93252108,21.23432791,20.22234444,19.87479759,19.42053473,19.40978082,20.65818885,20.95812415,21.66068033,22.50308997,22.92019947,23.09262926,22.95531426
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.11558774,22.98264246,19.3750006,18.19660401,17.41308287,16.23554507,15.0575048,15.46629701,16.3822901,17.94015266,14.86944653,7.224579503,11.49043805,15.42252326,11.35168733,12.47537426,11.19576721,9.745654295,10.84430291,15.81673104,17.86708402,18.43157108,19.59887427,20.35591091,21.98293641,22.82407356,24.93399552,28.08422195,29.59022785,29.600867,32.44001683,34.01368536,33.35164262,35.44905893,28.23090803,27.25917115,28.73983522
Albania,ALB,"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.04633843,63.4113088,66.58546845,66.53850813,70.18352471,69.46213709,69.50143606,71.677966,73.93168215,71.05615316,79.02156032,113.0284683,171.8218182,133.6700227,109.6986379,101.0366735,99.67433484,103.953341,102.7691785,93.40989257,88.45200759,82.20724992,86.83427093,84.25593808,85.19215713,87.6619711,84.6073917,88.04844668,91.06848836,89.60003536,90.27584696,91.32191276,90.30667551,89.67287437,94.4029483,90.94695883,89.78805951
Albania,ALB,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.70948721,21.51496312,23.87753808,20.80901795,19.37734695,18.44986108,15.4675094,15.56251101,19.21801564,20.71837707,23.19633658,27.59180677,88.51224849,62.29254565,38.9503248,34.51204773,32.02443573,34.18999543,34.63703792,32.21301696,38.0533447,38.99879016,44.33536647,45.08471104,44.37488902,47.47122764,48.52105365,54.78820068,56.43714442,53.75869562,53.02454351,56.74917812,51.98686783,53.4805518,47.22479756,44.52018964,45.58011116
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.177360497,-0.017694287,-0.016747291,-0.028354047,0.351197543,-2.378001116,2.8624E-05,1.35399E-06,-1.86767E-06,-0.468707384,38.56834211,249.6834375,114.8356476,38.41649482,5.573307455,41.27559451,12.08870589,8.432367822,1.533330791,3.981288045,3.328851082,2.410589719,5.379724414,2.357084176,2.621017641,2.696049249,3.57619481,3.85766182,2.422634225,4.489981434,2.310201067,1.039960616,0.218876859,1.422337385,0.293880027,-0.253731864
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.104940404,8.10777595,7.024420204,6.755369056,7.197241174,6.643187165,6.362479886,8.302413043,9.457842483,10.1862413,10.76359809,8.835850082,5.764607146,6.006989462,6.272659514,6.510345203,5.325983021,5.575386804,5.483948928,6.129190511,5.961149581
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.42276821,8.553602234,9.479292857,13.70163251,..,..,..,16.16084313,16.79084231,17.64535942,..,..,..,..,..,..,18.02201217,17.4832337,16.49713896,18.31355202,18.51020798,..
Algeria,DZA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,-4.892816739,25.59454007,8.236762689,21.49943742,-0.67345252,5.543853923,5.090595368,8.295754413,-5.071199766,16.78138369,20.49076621,3.169360985,6.644933851,0.927020821,2.865412333,-11.04701498,-7.691586959,-2.447268265,3.950266806,3.058334572,1.085782963,1.298095795,-7.678771868,-1.234132259,2.57921126,4.223384879,7.225795719,-0.89346867,5.093489962,22.06687057,0.884488023,3.060294743,9.823777052,4.356998408,11.58230475,6.790688597,4.651239184,3.517930893,-9.194643118,14.59126359,1.86661178,5.919793069,0.399835933,1.231179579,-1.483486015,..
Algeria,DZA,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,..,24621608862,23416918662,29410371292,31832833781,38676713958,38416244653,40545985140,42610017181,46144839561,43804742566,51155784490,61637996694,63591527314,67817142239,68445821268,70407076272,62629196006,57812016933,56397201790,58625041732,60417991651,61073999910,61866798935,57116188583,56411299275,57866265858,60310180980,64668071456,64090282498,67354714603,82217792296,82944998822,85483360260,93881054989,97971451061,1.09319E+11,1.16742E+11,1.22172E+11,1.2647E+11,1.14842E+11,1.31599E+11,1.34055E+11,1.41991E+11,1.42559E+11,1.44314E+11,1.42173E+11,..
Algeria,DZA,Urban population,SP.URB.TOTL,3394203,3626403,3882767,4154288,4443887,4753164,5041536,5208671,5383539,5563573,5747263,5933927,6124850,6321297,6525328,6738780,6961531,7240239,7611660,8004279,8420028,8858976,9321410,9805134,10307407,10824413,11355685,11892457,12421409,12956681,13496456,14039539,14584560,15126562,15661352,16185540,16698037,17198083,17689675,18188015,18684937,19180228,19677273,20182205,20703617,21248009,21818169,22414414,23041887,23698930,24388796,25114252,25871599,26649134,27429775,28199936,28953739
Algeria,DZA,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,871636,913806,953095,994074,1036876,1081394,1125264,1162355,1200723,1240246,1281127,1323356,1367038,1412036,1458580,1506658,1556390,1591631,1601502,1611434,1621442,1631484,1641602,1651783,1662042,1672335,1682707,1699125,1731209,1763809,1797068,1830955,1865529,1900658,1936498,1973014,2010271,2048125,2086577,2113386,2140577,2168042,2195898,2224112,2252728,2281632,2310947,2340639,2370754,2401172,2432023,2463271,2494920,2526977,2559445,2594112,2632469
Algeria,DZA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..,..,..,..
Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,30.51,31.797,33.214,34.662,36.141,37.643,38.84,39.004,39.169,39.334,39.5,39.665,39.831,39.997,40.163,40.33,40.497,40.928,41.794,42.665,43.542,44.42,45.303,46.189,47.079,47.968,48.86,49.722,50.511,51.298,52.085,52.871,53.657,54.439,55.219,55.997,56.774,57.544,58.313,59.118,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.822,67.526,68.209,68.87,69.51,70.129,70.727,71.304
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,5.522561751,6.617227146,6.830679589,6.759301002,6.73883901,6.728105765,5.8900296,3.26139393,3.302122775,3.289456316,3.248321372,3.196247832,3.166804653,3.157014229,3.176681152,3.218767949,3.252052178,3.925479548,5.002706522,5.029499157,5.063687998,5.081802865,5.088272249,5.059222124,4.995663695,4.894128309,4.79144535,4.618583401,4.351718253,4.219004632,4.081557001,3.945043084,3.808587158,3.648883643,3.474375013,3.29222296,3.117291656,2.950675652,2.818321192,2.778172464,2.695483056,2.616226552,2.558435818,2.533696061,2.550714375,2.595477756,2.647986618,2.696117101,2.760949946,2.811616593,2.869394707,2.931164724,2.971030957,2.961085144,2.887244744,2.769060622,2.637964095
